population,price,income,employment,poverty,area
2648,548700,66792,63,335,386
4196,345100,95687,69.4,265,387
3721,499000,48062,58.9,515,388
3070,471900,58374,64.7,226,389
2361,554900,50359,66.2,403,390
3138,583800,68750,64.6,344,391
2839,359400,58015,67.8,87,392
3039,701000,47667,64.6,302,393
3174,579800,96243,76.1,183,394
3763,741800,63205,75.5,500,395
3240,"1,000,000+",80506,85.3,243,396
2450,633100,110763,66.2,102,397
3310,637700,80243,72.8,213,398
2776,647700,72915,67.6,301,399
2896,"1,000,000+",95676,74.5,241,400
3365,"1,000,000+",49457,74.7,444,401
2645,"1,000,000+",119870,71.5,61,402
3177,"1,000,000+",234430,65.9,187,403
3376,771500,135704,77.9,252,404
4351,928400,76387,84.5,240,405
3524,914100,90837,81.3,453,406
3927,798100,115054,73,675,407
2135,673100,129499,80.2,136,408
4166,585500,82315,78.1,521,409
5037,534300,67960,81.9,429,410
2060,0,69855,73,285,411
2470,705500,54973,73,365,412
2484,771400,65063,74.1,186,413
4690,0,52838,83.3,889,414
2769,"1,000,000+",32620,64.2,643,415
3110,435700,38662,70.2,818,416
4625,0,39464,72.7,772,417
3370,0,50988,67.7,501,418
2294,0,33922,57.6,611,419
4612,461900,39931,71.7,960,420
3667,547600,32143,60.6,810,421
3199,663500,51673,70.2,619,422
2519,457100,36006,60.1,674,423
2886,506800,37825,71.4,412,424
4232,680100,41596,71.9,772,425
4055,383900,39233,70.1,671,426
3338,539100,55655,75.5,664,427
3457,555100,32878,71.9,410,428
4383,544600,37007,62.8,887,429
4935,747100,38353,59,930,430
2599,718800,37353,68.4,431,431
1744,653400,34297,68.2,230,432
2484,663700,51287,63.1,259,433
2477,642900,50735,75.6,274,434
5009,570700,39791,70.1,927,435
3995,586000,46845,77.1,754,436
5631,548500,45190,65.8,1050,437
4610,533300,54360,75.6,500,438
2917,460800,40776,63.3,424,439
2805,604200,39162,72.6,539,440
4271,617200,45961,74.4,751,441
3900,591900,50436,79.4,756,442
2623,701900,60417,78.6,342,443
3791,889100,58904,83.1,619,444
2944,845300,113676,69.7,214,445
2478,828500,68933,60.5,345,446
2572,839600,116302,77.5,271,447
2771,851400,118514,78.7,193,448
3607,506400,73270,71.3,289,449
3964,566100,61680,71.6,509,450
3855,645300,50457,69.5,418,451
5000,568800,41761,77.1,813,452
4971,0,38720,72,775,453
3768,473600,40625,74.6,660,454
2902,"1,000,000+",34642,59.8,895,455
2944,"1,000,000+",111350,83.9,310,456
3459,"1,000,000+",196656,77.8,116,457
3621,"1,000,000+",246347,75.4,259,458
3700,"1,000,000+",263611,70.8,323,459
2460,960400,84065,73.4,185,460
3508,"1,000,000+",136140,82.1,473,461
2202,944800,122759,70.2,167,462
4521,967600,152197,68.4,255,463
2895,862600,85041,80.7,228,464
3354,656700,142671,76.5,51,465
3342,794500,77545,77.5,385,466
3998,750300,88719,71.4,343,467
5058,647900,96182,74.2,500,468
3289,484400,68902,70.9,436,469
5091,541100,45710,63.8,744,470
2249,416700,53387,74.4,297,471
2704,659200,50952,64.4,386,472
2735,570600,88964,70.9,423,473
2465,490700,54289,76.8,340,474
2499,739900,66911,69.8,322,475
1924,495600,65617,73.7,368,476
2252,423300,57163,77.6,356,477
3813,568400,64278,61.7,396,478
3937,612400,61767,73.5,416,479
